clock	state	temp_act	temp_ext	temp_int	temp_set	time	watch
20250513 203406	1	1.37	0.6	4.7	0	3600	362.5005078315735
20250513 203408	1	1.37	0.6	4.7	0	3600	364.1605100631714
20250513 203409	1	1.37	0.6	4.7	0	3600	365.8205122947693
20250513 203411	1	1.37	0.6	4.7	0	3600	367.48051476478577
20250513 203413	1	1.37	0.6	4.7	0	3600	369.14051699638367
20250513 203414	1	1.37	0.6	4.7	0	3600	370.80051922798157
20250513 203416	1	1.37	0.6	4.7	0	3600	372.46052145957947
20250513 203418	1	1.37	0.6	4.7	0	3600	374.12052392959595
20250513 203419	1	1.37	0.6	4.7	0	3600	375.78052616119385
20250513 203421	1	1.37	0.6	4.7	0	3600	377.44052839279175
20250513 203423	1	1.37	0.6	4.7	0	3600	379.1005308628082
20250513 203424	1	1.37	0.6	4.7	0	3600	380.7605330944061
20250513 203426	1	1.37	0.6	4.7	0	3600	382.4205355644226
20250513 203428	1	1.37	0.6	4.7	0	3600	384.0805380344391
20250513 203429	1	1.37	0.6	4.7	0	3600	385.740540266037
20250513 203431	1	1.37	0.6	4.7	0	3600	387.4005422592163
20250513 203433	1	1.37	0.6	4.7	0	3600	389.0605447292328
20250513 203434	1	1.37	0.6	4.7	0	3600	390.72054719924927
20250513 203436	1	1.37	0.6	4.7	0	3600	392.38054943084717
20250513 203438	1	1.37	0.6	4.7	0	3600	394.04055190086365
20250513 203439	1	1.37	0.6	4.7	0	3600	395.70055413246155
20250513 203441	1	1.37	0.6	4.7	0	3600	397.36055636405945
20250513 203443	1	1.37	0.6	4.7	0	3600	399.02055859565735
20250513 203444	1	1.37	0.6	4.7	0	3600	400.6805610656738
20250513 203446	1	1.37	0.6	4.7	0	3600	402.34056329727173
20250513 203448	1	1.37	0.6	4.7	0	3600	404.0005657672882
20250513 203449	1	1.37	0.6	4.7	0	3600	405.6605682373047
20250513 203451	1	1.37	0.6	4.7	0	3600	407.320570230484
20250513 203453	1	1.37	0.6	4.7	0	3600	408.9805724620819
20250513 203454	1	1.37	0.6	4.7	0	3600	410.64057517051697
20250513 203456	1	1.37	0.6	4.7	0	3600	412.30057740211487
20250513 203458	1	1.37	0.6	4.7	0	3600	413.96057963371277
