eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
1A,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.115554849,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,3.18963E-05,1bar
1B,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.114530083,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,3.16135E-05,1bar
1C,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.149750485,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,4.13353E-05,1bar
250A,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.263330829,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,7.26866E-05,250bar
250B,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.128972719,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,3.56001E-05,250bar
250C,CL 65:2_28.89 | 16:0_16:0_16:1_17:1,0.096320263,CL,1,NA,65,2,28.89,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:1_17:1,2.65871E-05,250bar
1A,CL 65:4_28.80,0.174483754,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,4.81624E-05,1bar
1B,CL 65:4_28.80,0.181045978,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,4.99737E-05,1bar
1C,CL 65:4_28.80,0.156351749,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,4.31574E-05,1bar
250A,CL 65:4_28.80,0.230104394,CL,1,NA,65,4,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,65:04:00,6.35152E-05,250bar
