eid	id	rab	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar_2	group	sp	collection	depth
1A	CL 67:3_28.96 | 16:0_17:1_17:1_17:1	0.085161107	CL	1	NA	67	3	28.96	NA	16	0	NA	17	1	NA	NA	NA	FALSE	16:0_17:1_17:1_17:1	2.35068e-5	1bar	Ecoli	NA	1
1A	CL 67:4_29.12	0.189360654	CL	1	NA	67	4	29.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	67:04:00	5.22688e-5	1bar	Ecoli	NA	1
1A	CL 68:2_29.35 | 16:0_16:0_17:1_19:1	2.248118777	CL	1	NA	68	2	29.35	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_17:1_19:1	6.20543e-4	1bar	Ecoli	NA	1
1A	CL 68:5_29.03	0.183065338	CL	1	NA	68	5	29.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	68:05:00	5.05311e-5	1bar	Ecoli	NA	1
1A	CL 69:2_29.53 | 16:0_16:0_18:1_19:1	0.025147174	CL	1	NA	69	2	29.53	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_18:1_19:1	6.94132e-6	1bar	Ecoli	NA	1
1A	CL 69:2_29.53 | 16:0_17:0_17:1_19:1	0.026082877	CL	1	NA	69	2	29.53	NA	16	0	NA	17	0	NA	NA	NA	FALSE	16:0_17:0_17:1_19:1	7.1996e-6	1bar	Ecoli	NA	1
1A	CL 69:3_29.28 | 14:0_17:1_19:1_19:1	0.025209172	CL	1	NA	69	3	29.28	NA	14	0	NA	17	1	NA	NA	NA	FALSE	14:0_17:1_19:1_19:1	6.95843e-6	1bar	Ecoli	NA	1
1A	CL 69:3_29.28 | 16:0_17:1_17:1_19:1	0.399718034	CL	1	NA	69	3	29.28	NA	16	0	NA	17	1	NA	NA	NA	FALSE	16:0_17:1_17:1_19:1	1.10333e-4	1bar	Ecoli	NA	1
1A	CL 69:4_29.44	0.061139344	CL	1	NA	69	4	29.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	69:04:00	1.68762e-5	1bar	Ecoli	NA	1
1A	CL 70:2_29.71 | 16:0_16:0_19:1_19:1	0.576250817	CL	1	NA	70	2	29.71	NA	16	0	NA	16	0	NA	NA	NA	FALSE	16:0_16:0_19:1_19:1	1.59061e-4	1bar	Ecoli	NA	1
