SoyPI_062925_Ex340_Em440,,SoyPI_062925_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
185.5041656,167.6951141,185.5144806,283.3638306,
186.0041656,165.1918182,186.0144806,279.9330444,
186.5041656,162.9960632,186.5144806,282.8969421,
187.0041656,163.8031921,187.0144806,283.9658813,
187.5041656,165.6373138,187.5144806,283.9293213,
188.0041656,168.1023102,188.0144806,285.0619507,
188.5041656,166.1461182,188.5144806,281.1516724,
189.0041656,157.5869141,189.0144806,281.0115356,
189.5041656,163.1964417,189.5144806,286.2598267,
190.0041656,164.0404816,190.0144806,276.872467,
190.5041656,163.7276306,190.5144806,278.4247437,
191.0041656,161.1943207,191.0144806,280.6437073,
191.5041656,161.7888336,191.5144806,278.7346497,
192.0041656,158.7744293,192.0144806,283.8001404,
192.5041656,156.7684479,192.5144806,278.9704285,
193.0041656,158.7470398,193.0144806,281.3457642,
193.5041656,161.0717163,193.5145416,280.3943481,
194.0041656,162.3284454,194.0144806,276.0193176,
194.5041656,158.2194366,194.5144806,270.8035278,
195.0041656,156.574295,195.0144806,281.6119995,
195.5041656,162.8741608,195.5144806,275.068573,
196.0041656,161.2783203,196.0144806,280.0561523,
196.5041656,162.9870911,196.5144806,276.1953735,
197.0041656,157.9372101,197.0144806,280.4836426,
197.5041656,157.5490875,197.5144806,276.8854675,
198.0041656,159.9229584,198.0144806,276.6766052,
198.5041656,161.5205536,198.5144806,281.7182312,
199.0041656,159.3585968,199.0144806,273.9367065,
199.5041656,159.0550995,199.5144806,276.7917786,
200.0041656,157.9616394,200.0144806,273.5751648,
200.5041656,164.0846863,200.5144806,276.4609375,
201.0041656,156.0764313,201.0144806,271.1760254,
201.5041656,157.0353851,201.5144806,284.2895508,
202.0041656,155.8016357,202.0144806,277.2061462,
202.5041656,157.1466522,202.5144806,275.81427,
203.0041656,160.3308105,203.0144806,278.9428406,
203.5041656,163.697052,203.5144806,273.6073914,
204.0041656,161.2749176,204.0144806,274.3394165,
204.5041656,160.3598938,204.5144806,280.7791443,
205.0041656,162.1312408,205.0144806,279.9074707,
205.5041656,158.813736,205.5144806,272.2392273,
206.0041656,159.9856415,206.0144806,278.3849792,
206.5041656,161.3966675,206.5144806,280.40979,
207.0041656,160.8625641,207.0144806,280.0710144,
207.5041656,162.6560211,207.5144806,277.9031067,
208.0041656,163.140213,208.0144806,288.5336914,
208.5041656,164.8370209,208.5144806,288.2438965,
209.0041656,169.562973,209.0144806,288.6506348,
209.5041656,168.9071655,209.5144806,291.3765869,
210.0041656,167.5925446,210.0144806,289.0273438,
210.5041656,169.9236603,210.5144806,293.4520874,
211.0041656,168.9559631,211.0145416,294.8786621,
211.5041656,173.0632172,211.5144806,300.1227417,
212.0041656,166.869751,212.0144806,293.0369263,
212.5041656,165.2650604,212.5144806,297.0175476,
213.0041656,164.8796692,213.0144806,299.4527893,
213.5041656,163.1179504,213.5144806,298.6030273,
214.0041656,166.3672028,214.0144806,300.473877,
214.5041656,166.3359833,214.5144806,298.7319031,
215.0041656,167.1405945,215.0144806,299.8774719,
215.5041656,164.9416962,215.5144806,290.9278564,
216.0041656,166.2695618,216.0144806,295.5510864,
216.5041656,164.1476593,216.5144806,292.0235596,
217.0041656,165.7341156,217.0144806,294.7731934,
217.5041656,168.8521118,217.5144806,290.3919983,
218.0041656,166.8848114,218.0144806,292.6434937,
218.5041656,159.7547607,218.5144806,283.1392822,
219.0041656,165.5756836,219.0144806,287.2001038,
219.5041656,164.5474548,219.5144806,286.1304932,
220.0041656,168.5379791,220.0144806,283.6974182,
