time (s),POPE A,POPE B,POPE C,SoyPI A,SoyPI B,SoyPI C,xPE A,xPE B,xPE C,POPG A,POPG B,POPG C
15.35,0.127556342,0.155377408,0.139187381,0.073747258,0.075876291,0.07758459,-0.000364863,-0.001054029,0.000195783,0.012281234,0.003310482,0.001647091
15.45,0.106574283,0.171642444,0.15857104,0.086052891,0.050890511,0.100287856,-0.003881856,0.012383621,-0.003944169,0.009396152,0.010371012,-0.001874636
15.55,0.139725981,0.169444001,0.151559289,0.069605117,0.065129717,0.082696304,0.005117857,0.007689242,-0.007753505,0.00600277,0.001678651,-0.004005173
15.65,0.140838915,0.165252704,0.14902196,0.081797445,0.063284303,0.086896317,0.004836452,0.005520643,-0.010402473,0.009856244,0.000951777,0.00084439
15.75,0.144186347,0.163780055,0.141585287,0.045836156,0.056619655,0.084290492,0.003074781,0.002451932,-0.0125191,0.000688837,0.004324699,-0.011185335
15.85,0.129855727,0.190599774,0.162946246,0.069934334,0.051202366,0.095773717,0.00081735,0.006640738,-0.003639119,0.011300506,0.004071636,0.002959922
15.95,0.154671652,0.169424768,0.159258348,0.069897623,0.069762953,0.095234144,0.009592509,-0.000787946,-0.005151715,0.006751387,0.014938044,-0.007628914
16.05,0.147016695,0.16977367,0.138025306,0.081719824,0.061697151,0.084124561,0.010925282,0.010593737,-0.008899488,0.00931605,0.017330457,-0.00059762
16.15,0.140318584,0.177592829,0.178018237,0.062884303,0.073723867,0.094502749,-0.002912327,0.010644647,-0.005415833,0.014139695,0.00652154,0.002269656
16.25,0.135751345,0.168707638,0.147763651,0.059102568,0.061117183,0.090111041,0.003187061,0.012017765,-0.013849144,0.004094494,0.004948132,0.002323281
16.35,0.145638,0.171403078,0.164174953,0.085781996,0.062426758,0.075380974,0.009386066,0.000463438,-0.004154067,0.010326723,0.008365892,0.00413736
16.45,0.139805747,0.16250337,0.182649651,0.076634459,0.080865459,0.090903454,0.003532002,0.006463296,-0.009278464,0.012497522,0.011184172,0.002080774
16.55,0.150786277,0.174765032,0.139791063,0.097956711,0.059915948,0.101725999,0.01222573,0.010000609,-0.008096515,-0.007621761,0.011219377,0.003801392
16.65,0.147645905,0.17177405,0.160652511,0.065583239,0.069471137,0.079858022,-0.004238241,0.00823962,-0.006694043,0.00253101,0.003589711,0.011669344
16.75,0.160966911,0.187628658,0.170801381,0.07053448,0.059383664,0.092972369,-0.001461022,-0.001418687,-0.016705422,0.008255865,0.004757359,0.0151964
16.85,0.13882619,0.200636096,0.153738948,0.08114562,0.078906852,0.072600509,-0.001914795,0.013499642,0.001214214,-0.007373746,0.015983424,0.001038861
16.95,0.150762795,0.165183579,0.15973582,0.072939156,0.076046802,0.088566582,0.01053557,0.00351101,-0.007735159,-0.003986679,0.005776868,0.011695165
17.05,0.139459812,0.194236576,0.172621665,0.088870266,0.078448636,0.081246788,0.010026834,0.002967368,-0.015924049,-0.004840677,0.007667092,0.003088773
17.15,0.153503772,0.191380715,0.172627194,0.094673661,0.06113087,0.074786911,0.000785488,0.002100366,-0.006025627,0.008326885,0.014611377,-0.008547201
17.25,0.149300848,0.179563924,0.153554377,0.084276221,0.065018917,0.097016347,-0.003265037,0.013467864,-0.008678743,-0.00669105,0.012735239,-0.004904549
17.35,0.156938073,0.189766299,0.196483235,0.071245812,0.059178809,0.113066445,0.010236789,0.00848431,-0.011547029,0.005145978,0.01115113,0.010968882
