clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250514 200435	600.2	600	5	0.6	4.9	0	60	289.2704048156738
20250514 200436	600.2	600	5	0.6	4.9	0	60	290.2704064846039
20250514 200437	600.2	600	5	0.6	4.9	0	60	291.2704076766968
20250514 200438	600.2	600	5	0.6	4.9	0	60	292.27040934562683
20250514 200439	600.2	600	5	0.6	4.9	0	60	293.2704105377197
20250514 200440	600.2	600	5	0.6	4.9	0	60	294.2704122066498
20250514 200441	600.2	600	5	0.6	4.9	0	60	295.2704133987427
20250514 200442	600.2	600	5	0.6	4.9	0	60	296.27041459083557
20250514 200443	600.2	600	5	0.6	4.9	0	60	297.2704162597656
20250514 200444	600.2	600	5	0.6	4.9	0	60	298.2704174518585
20250514 200445	600.2	600	5	0.6	4.9	0	60	299.2704191207886
20250514 200446	600.2	500	6	0.6	4.9	0	60	300.330420255661
20250514 200447	525.3	500	6	0.6	4.9	0	60	301.32042169570923
20250514 200448	504.6	500	6	0.6	4.9	0	60	302.3204231262207
20250514 200449	497.9	500	6	0.6	4.9	0	60	303.3204245567322
20250514 200450	499.3	500	6	0.6	4.9	0	60	304.32042598724365
20250514 200451	501.1	500	6	0.6	4.9	0	60	305.3204274177551
20250514 200452	500.8	500	6	0.6	4.9	0	60	306.3204288482666
20250514 200453	499.5	500	6	0.6	4.9	0	60	307.3204300403595
20250514 200454	499.6	500	6	0.6	4.9	0	60	308.32043170928955
20250514 200455	500.2	500	6	0.6	4.9	0	60	309.32043290138245
20250514 200456	500.3	500	6	0.6	4.9	0	60	310.3204345703125
20250514 200457	500.2	500	6	0.6	4.9	0	60	311.3204357624054
20250514 200458	499.9	500	6	0.6	4.9	0	60	312.3204369544983
20250514 200459	500.0	500	6	0.6	4.9	0	60	313.32043862342834
20250514 200500	500.0	500	6	0.6	4.9	0	60	314.32043981552124
20250514 200501	500.0	500	6	0.6	4.9	0	60	315.3204414844513
20250514 200502	500.1	500	6	0.6	4.9	0	60	316.3204426765442
20250514 200503	500.1	500	6	0.6	4.9	0	60	317.32044410705566
20250514 200504	500.2	500	6	0.6	4.9	0	60	318.32044553756714
20250514 200505	500.2	500	6	0.6	4.9	0	60	319.3204469680786
20250514 200506	500.2	500	6	0.6	4.9	0	60	320.3204483985901
20250514 200507	500.2	500	6	0.6	4.9	0	60	321.32044982910156
20250514 200508	500.2	500	6	0.6	4.9	0	60	322.32045102119446
20250514 200509	500.2	500	6	0.6	4.9	0	60	323.3204526901245
20250514 200510	500.2	500	6	0.6	4.9	0	60	324.3204538822174
20250514 200511	500.2	500	6	0.6	4.9	0	60	325.32045555114746
20250514 200512	500.2	500	6	0.6	4.9	0	60	326.32045674324036
20250514 200513	500.2	500	6	0.6	4.9	0	60	327.32045793533325
20250514 200514	500.2	500	6	0.6	4.9	0	60	328.3204596042633
20250514 200515	500.2	500	6	0.6	4.9	0	60	329.3204607963562
20250514 200516	500.2	500	6	0.6	4.8	0	60	330.32046246528625
20250514 200517	500.2	500	6	0.6	4.8	0	60	331.32046365737915
20250514 200518	500.2	500	6	0.6	4.9	0	60	332.3204653263092
20250514 200519	500.2	500	6	0.6	4.8	0	60	333.3204665184021
20250514 200520	500.2	500	6	0.6	4.8	0	60	334.3204679489136
20250514 200521	500.2	500	6	0.6	4.8	0	60	335.32046937942505
20250514 200522	500.2	500	6	0.6	4.8	0	60	336.3204708099365
20250514 200523	500.2	500	6	0.6	4.8	0	60	337.320472240448
20250514 200524	500.2	500	6	0.6	4.8	0	60	338.3204736709595
20250514 200525	500.2	500	6	0.6	4.8	0	60	339.32047486305237
20250514 200526	500.2	500	6	0.6	4.8	0	60	340.3204765319824
20250514 200527	500.2	500	6	0.6	4.8	0	60	341.3204777240753
20250514 200528	500.2	500	6	0.6	4.8	0	60	342.3204791545868
20250514 200529	500.2	500	6	0.6	4.8	0	60	343.32048058509827
20250514 200530	500.2	500	6	0.6	4.8	0	60	344.32048177719116
20250514 200531	500.2	500	6	0.6	4.8	0	60	345.3204834461212
20250514 200532	500.2	500	6	0.6	4.8	0	60	346.3204846382141
20250514 200533	500.2	500	6	0.6	4.8	0	60	347.32048630714417
20250514 200534	500.2	500	6	0.6	4.8	0	60	348.32048749923706
20250514 200535	500.2	500	6	0.6	4.8	0	60	349.32048892974854
20250514 200536	500.2	500	6	0.6	4.8	0	60	350.32049036026
20250514 200537	500.2	500	6	0.6	4.8	0	60	351.3204917907715
20250514 200538	500.2	500	6	0.6	4.8	0	60	352.32049322128296
20250514 200539	500.2	500	6	0.6	4.8	0	60	353.32049465179443
20250514 200540	500.2	500	6	0.6	4.8	0	60	354.32049584388733
20250514 200541	500.2	500	6	0.6	4.8	0	60	355.3204975128174
20250514 200542	500.2	500	6	0.6	4.8	0	60	356.3204987049103
